PositionTimestamp	PositionDifference	VideoTimestamp	VideoDifference
95476.020000	1.465040	NaN	NaN
95476.060000	1.339540	NaN	NaN
95476.100000	1.853440	NaN	NaN
95476.140000	1.702740	NaN	NaN
95476.180000	1.439040	NaN	NaN
95476.220000	1.747040	NaN	NaN
95476.260000	1.649940	NaN	NaN
95476.295000	1.588640	NaN	NaN
95476.335000	1.584240	NaN	NaN
95476.374000	1.656740	NaN	NaN
95476.414000	1.495540	NaN	NaN
95476.454000	1.451740	NaN	NaN
95476.494000	1.587740	NaN	NaN
95476.534000	1.502340	NaN	NaN
95476.574000	1.595140	NaN	NaN
95476.614000	1.693740	NaN	NaN
95476.654000	1.675040	NaN	NaN
95476.694000	1.616940	NaN	NaN
95476.734000	1.891440	NaN	NaN
95476.775000	1.725140	NaN	NaN
95476.815000	1.788640	NaN	NaN
95476.855000	1.822440	NaN	NaN
95476.890000	1.872640	NaN	NaN
95476.930000	1.823440	NaN	NaN
95476.970000	1.745940	NaN	NaN
95477.010000	1.677640	NaN	NaN
95477.050000	1.760740	NaN	NaN
95477.090000	1.382240	NaN	NaN
95477.130000	1.371373	NaN	NaN
95477.164000	1.551040	NaN	NaN
95477.204000	1.681240	NaN	NaN
95477.244000	1.732673	NaN	NaN
95477.284000	1.738773	NaN	NaN
95477.325000	1.798240	NaN	NaN
95477.364000	1.746440	NaN	NaN
95477.404000	1.596673	NaN	NaN
95477.444000	1.512173	NaN	NaN
95477.484000	1.412873	NaN	NaN
95477.525000	1.704873	NaN	NaN
95477.565000	1.673073	NaN	NaN
95477.605000	2.571360	NaN	NaN
95477.640000	11.853960	NaN	NaN
95478.400000	0.517340	NaN	NaN
95478.440000	0.619673	NaN	NaN
95478.480000	0.682073	NaN	NaN
95478.520000	0.733573	NaN	NaN
95478.560000	0.724673	NaN	NaN
95478.600000	0.637560	NaN	NaN
95478.640000	0.650960	NaN	NaN
95478.680000	0.874560	NaN	NaN
95478.720000	0.916860	NaN	NaN
95478.760000	1.045660	NaN	NaN
95478.794000	0.983660	NaN	NaN
95478.834000	1.076260	NaN	NaN
95478.874000	1.074860	NaN	NaN
95478.914000	1.069873	NaN	NaN
95478.954000	0.924473	NaN	NaN
95478.994000	1.057860	NaN	NaN
95479.034000	1.114073	NaN	NaN
95479.074000	1.078973	NaN	NaN
95479.114000	1.197460	NaN	NaN
95479.154000	1.122560	NaN	NaN
95479.194000	1.208360	NaN	NaN
95479.234000	1.094160	NaN	NaN
95479.275000	1.112460	NaN	NaN
